NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
16,5,1017.35280,4018.16760,82.79040,7172.30220,26.44500,75.94920,0.000006677
16,6,1285.22990,5762.90400,83.37940,7581.03480,29.03880,69.52530,0.000008744
16,7,1253.89690,5026.07220,115.95450,7222.29180,25.10860,72.58930,0.000004060
16,8,1012.54990,4213.89450,90.99610,5326.61860,23.72290,76.32170,0.000005412
16,9,872.18600,3570.06890,74.78490,4578.11400,23.06670,67.95090,0.000008888
16,10,844.74640,3286.25160,76.40670,4558.32750,22.86930,65.50420,0.000006291
16,11,834.59870,3281.73040,73.26970,4530.62930,22.94650,65.54970,0.000007101
16,12,836.89280,3276.70500,73.07570,4525.41430,22.88750,65.27500,0.000010933
16,13,829.74700,3290.72910,74.92820,4532.65790,22.79320,64.38690,0.000020393
16,14,827.59600,3285.64130,73.78970,4567.10510,23.11150,65.46820,0.000009202
16,15,839.52310,3278.03060,78.03880,4526.85650,23.45730,65.00130,0.000006183
16,16,1181.51410,3530.89290,91.79590,5145.88110,28.65230,76.29000,0.000003185
16,17,874.25280,3899.83330,82.00080,5183.29630,22.78370,66.41850,0.000010334
16,18,906.70790,3710.98520,99.83990,5534.61570,23.45930,78.28600,0.000005187
16,19,876.20890,3612.37120,73.70360,4576.83210,23.03290,66.18350,0.000008291
16,20,833.58540,3287.68880,73.87400,4517.13240,22.51800,65.16450,0.000005484
16,21,968.63320,3747.05150,77.25860,5155.05410,24.76900,80.71210,0.000006148
16,22,944.56090,3804.34880,78.88760,5011.12010,29.50890,84.47840,0.000004578
16,23,908.62690,3629.14410,83.20720,5132.16890,22.42830,64.53540,0.000006186
16,24,1130.98500,3491.59570,82.99250,5109.99590,22.61070,65.86310,0.000011714
16,25,1042.72090,3927.06720,81.24840,5683.87370,24.74620,74.71430,0.000002457
16,26,886.29420,3452.26690,77.80300,4654.43750,22.95140,65.27730,0.000004680
16,27,874.66280,3584.69920,92.84830,4951.48200,59.18310,87.38580,0.000004714
16,28,1052.15920,4550.96460,96.45270,5489.56970,27.91270,74.56610,0.000012760
16,29,946.48810,3822.25450,101.83990,5325.11230,34.02560,120.51080,0.000007320
16,30,988.97870,3705.33520,75.44580,4746.41090,22.64050,64.63700,0.000003245
16,31,881.92210,3472.29020,79.42660,4716.83730,23.29610,67.14640,0.000009113
16,32,844.56540,3413.83500,75.17400,4782.55130,24.32830,72.99260,0.000027702
16,33,912.69360,3578.28600,76.14420,4819.14340,28.23950,68.47240,0.000005663
16,34,1158.07750,3582.57240,87.19410,4954.90370,23.04470,70.87940,0.000004560
16,35,922.46230,3584.81460,80.70550,5120.02610,23.89140,72.95900,0.000003835
16,36,838.62540,3333.18120,74.48620,4690.21450,23.20440,67.25200,0.000007612
